Date,Total Occ.,Arr. Rooms,Dep. Rooms,Room Revenue,Average Rate,Day Use Rooms,No Show Rooms,Adl. & Chl.,From Date,To Date,No of Day,Rooms,Total Room,Occ %,Total Revenue
1-Feb-2020,166,109,66,"11,396",69,2,0,303,1-Feb-2020,29-Feb-2020,29,"4,308","21,576",20%,"245,664.56"
2-Feb-2020,172,91,85,"11,786",69,2,0,283,1-Mar-2020,31-Mar-2020,31,"1,490","23,064",6%,"69,382.74"
3-Feb-2020,132,77,117,"7,260",55,0,0,190,1-Apr-2020,30-Apr-2020,30,"1,007","22,320",5%,"39,312.42"
4-Feb-2020,118,56,70,"6,208",53,4,0,172,1-May-2020,31-May-2020,31,926,"23,064",4%,"38,545.34"
5-Feb-2020,103,75,90,"6,208",60,8,0,152,1-Jun-2020,30-Jun-2020,30,663,"22,320",3%,"22,824.52"
6-Feb-2020,100,54,57,"5,399",54,0,0,144,1-Jul-2020,31-Jul-2020,31,664,"23,064",3%,"61,867.87"
7-Feb-2020,116,58,42,"6,193",53,3,0,179,,,,,,,
8-Feb-2020,112,80,84,"5,536",49,0,1,173,,,,,,,
9-Feb-2020,94,46,64,"4,975",53,4,0,130,,,,,,,
10-Feb-2020,88,42,48,"4,566",52,1,0,121,,,,,,,
11-Feb-2020,104,61,45,"5,706",55,1,1,151,,,,,,,
12-Feb-2020,122,77,59,"6,359",52,1,1,180,,,,,,,
13-Feb-2020,136,80,66,"6,830",50,0,0,206,,,,,,,
14-Feb-2020,139,88,85,"7,242",52,2,4,213,,,,,,,
15-Feb-2020,439,412,111,"23,903",54,18,0,794,,,,,,,
16-Feb-2020,377,46,108,"20,117",53,1,2,677,,,,,,,
17-Feb-2020,357,41,61,"19,177",54,1,0,648,,,,,,,
18-Feb-2020,330,21,48,"19,094",58,2,0,609,,,,,,,
19-Feb-2020,403,167,94,"24,392",61,0,2,698,,,,,,,
20-Feb-2020,166,31,267,"11,786",71,0,3,275,,,,,,,
21-Feb-2020,115,54,105,"10,154",88,7,1,179,,,,,,,
22-Feb-2020,80,32,67,"5,406",68,1,0,134,,,,,,,
23-Feb-2020,56,17,41,"3,869",69,1,1,84,,,,,,,
24-Feb-2020,46,17,27,895,19,3,0,65,,,,,,,
25-Feb-2020,43,8,11,"2,226",52,0,0,57,,,,,,,
26-Feb-2020,79,43,7,"3,901",49,0,0,120,,,,,,,
27-Feb-2020,44,1,46,"2,039",46,0,0,56,,,,,,,
28-Feb-2020,44,11,5,"2,053",47,0,0,57,,,,,,,
29-Feb-2020,27,3,18,987,37,0,0,37,,,,,,,
1-Mar-2020,47,2,5,"1,696",36,0,0,56,,,,,,,
2-Mar-2020,49,3,5,"2,139",44,0,0,58,,,,,,,
3-Mar-2020,56,4,0,"2,483",44,0,0,68,,,,,,,
4-Mar-2020,44,0,3,"1,661",38,0,0,53,,,,,,,
5-Mar-2020,34,1,3,"1,147",34,0,0,42,,,,,,,
6-Mar-2020,38,2,2,"1,366",36,0,0,45,,,,,,,
7-Mar-2020,37,3,2,"1,378",37,0,0,46,,,,,,,
8-Mar-2020,37,4,2,"1,444",39,0,0,48,,,,,,,
9-Mar-2020,37,3,6,"1,588",43,0,0,45,,,,,,,
10-Mar-2020,37,5,2,"1,765",48,0,0,46,,,,,,,
11-Mar-2020,46,1,4,"2,103",46,0,0,49,,,,,,,
12-Mar-2020,36,0,6,"1,536",43,0,0,36,,,,,,,
13-Mar-2020,46,0,1,"1,680",37,0,0,46,,,,,,,
14-Mar-2020,30,0,0,"1,007",34,0,0,30,,,,,,,
15-Mar-2020,33,1,1,"1,323",40,0,0,34,,,,,,,
16-Mar-2020,40,0,1,"1,597",40,0,0,40,,,,,,,
17-Mar-2020,26,0,0,880,34,0,0,26,,,,,,,
18-Mar-2020,40,9,0,"1,735",43,0,0,47,,,,,,,
19-Mar-2020,48,1,1,"2,231",46,0,0,56,,,,,,,
20-Mar-2020,76,3,1,"3,666",48,0,0,85,,,,,,,
21-Mar-2020,37,1,2,"1,613",44,0,0,47,,,,,,,
22-Mar-2020,28,2,10,962,34,0,0,29,,,,,,,
23-Mar-2020,57,0,1,"2,798",49,0,0,58,,,,,,,
24-Mar-2020,227,1,1,"15,304",67,0,0,227,,,,,,,
25-Mar-2020,55,2,2,"2,450",45,0,0,56,,,,,,,
26-Mar-2020,44,0,1,"1,695",39,0,0,44,,,,,,,
27-Mar-2020,37,2,1,"1,429",39,0,0,38,,,,,,,
28-Mar-2020,31,0,2,"1,126",36,0,0,31,,,,,,,
29-Mar-2020,44,0,0,"1,928",44,0,0,44,,,,,,,
30-Mar-2020,50,2,0,"3,767",75,0,0,52,,,,,,,
31-Mar-2020,43,0,2,"1,885",44,0,0,43,,,,,,,
1-Apr-2020,31,1,0,"1,140",37,0,0,32,,,,,,,
2-Apr-2020,36,1,1,"1,536",43,0,0,36,,,,,,,
3-Apr-2020,34,0,0,"1,240",36,0,0,34,,,,,,,
4-Apr-2020,26,0,0,903,35,0,0,26,,,,,,,
5-Apr-2020,26,1,1,902,35,0,0,27,,,,,,,
6-Apr-2020,26,0,0,902,35,0,0,27,,,,,,,
7-Apr-2020,25,0,1,844,34,0,0,25,,,,,,,
8-Apr-2020,46,0,0,"2,152",47,0,0,46,,,,,,,
9-Apr-2020,24,0,1,844,35,0,0,24,,,,,,,
10-Apr-2020,30,1,0,"1,113",37,0,0,31,,,,,,,
11-Apr-2020,33,0,0,"1,239",38,0,0,34,,,,,,,
12-Apr-2020,25,0,0,902,36,0,0,26,,,,,,,
13-Apr-2020,41,0,1,"1,920",47,0,0,41,,,,,,,
14-Apr-2020,43,0,0,"1,349",31,0,0,43,,,,,,,
15-Apr-2020,37,0,0,"1,612",44,0,0,37,,,,,,,
16-Apr-2020,24,0,0,844,35,0,0,24,,,,,,,
17-Apr-2020,29,0,0,"1,054",36,0,0,29,,,,,,,
18-Apr-2020,26,2,0,978,38,0,0,29,,,,,,,
19-Apr-2020,26,2,2,953,37,0,0,28,,,,,,,
20-Apr-2020,26,0,0,953,37,0,0,28,,,,,,,
21-Apr-2020,24,0,2,844,35,0,0,24,,,,,,,
22-Apr-2020,62,1,1,"2,005",32,0,0,62,,,,,,,
23-Apr-2020,51,0,0,"2,448",48,0,0,51,,,,,,,
24-Apr-2020,24,0,0,845,35,0,0,24,,,,,,,
25-Apr-2020,36,0,0,"1,350",37,0,0,36,,,,,,,
26-Apr-2020,29,0,0,"1,055",36,0,0,29,,,,,,,
27-Apr-2020,32,0,0,"1,181",37,0,0,32,,,,,,,
28-Apr-2020,32,3,0,"1,220",38,0,0,35,,,,,,,
29-Apr-2020,54,2,0,"2,708",50,0,0,59,,,,,,,
30-Apr-2020,49,0,0,"2,277",46,0,0,54,,,,,,,
1-May-2020,37,0,4,"1,454",39,0,0,38,,,,,,,
2-May-2020,41,1,2,"1,602",39,0,0,42,,,,,,,
3-May-2020,35,0,1,"1,320",38,0,0,35,,,,,,,
4-May-2020,38,0,0,"1,566",41,0,0,38,,,,,,,
5-May-2020,54,4,0,"2,545",47,0,0,54,,,,,,,
6-May-2020,60,0,0,"2,899",48,0,0,60,,,,,,,
7-May-2020,34,2,0,"1,609",47,0,0,36,,,,,,,
8-May-2020,36,2,3,"1,739",48,0,0,38,,,,,,,
9-May-2020,33,0,0,"1,613",49,0,0,35,,,,,,,
10-May-2020,22,0,6,815,37,0,0,22,,,,,,,
11-May-2020,29,0,0,"1,229",42,0,0,29,,,,,,,
12-May-2020,29,0,0,"1,229",42,0,0,29,,,,,,,
13-May-2020,22,0,0,815,37,0,0,22,,,,,,,
14-May-2020,40,0,0,"1,794",45,0,0,40,,,,,,,
15-May-2020,22,0,0,815,37,0,0,22,,,,,,,
16-May-2020,22,0,0,815,37,0,0,22,,,,,,,
17-May-2020,22,0,0,815,37,0,0,22,,,,,,,
18-May-2020,22,0,0,815,37,0,0,22,,,,,,,
19-May-2020,22,0,0,815,37,0,0,22,,,,,,,
20-May-2020,30,0,0,"1,152",38,0,0,30,,,,,,,
21-May-2020,27,0,0,"1,026",38,0,0,27,,,,,,,
22-May-2020,23,2,1,897,39,0,0,25,,,,,,,
23-May-2020,26,0,2,999,38,0,0,26,,,,,,,
24-May-2020,21,0,0,788,38,0,0,21,,,,,,,
25-May-2020,28,0,0,"1,202",43,0,0,28,,,,,,,
26-May-2020,28,0,0,"1,202",43,0,0,28,,,,,,,
27-May-2020,34,0,0,"1,611",47,0,0,34,,,,,,,
28-May-2020,26,0,0,999,38,0,0,26,,,,,,,
29-May-2020,21,0,0,788,38,0,0,21,,,,,,,
30-May-2020,21,0,0,788,38,0,0,21,,,,,,,
31-May-2020,21,0,0,787,37,0,0,21,,,,,,,
1-Jun-2020,28,0,0,"1,203",43,0,0,28,,,,,,,
2-Jun-2020,28,0,0,"1,203",43,0,0,28,,,,,,,
3-Jun-2020,34,0,0,"1,558",46,0,0,34,,,,,,,
4-Jun-2020,26,0,0,"1,000",38,0,0,26,,,,,,,
5-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
6-Jun-2020,26,0,0,"1,000",38,0,0,26,,,,,,,
7-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
8-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
9-Jun-2020,54,0,0,790,15,0,0,54,,,,,,,
10-Jun-2020,67,0,0,"1,558",23,0,0,67,,,,,,,
11-Jun-2020,59,0,0,"1,000",17,0,0,59,,,,,,,
12-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
13-Jun-2020,26,0,0,"1,000",38,0,0,26,,,,,,,
14-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
15-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
16-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
17-Jun-2020,39,0,0,"1,768",45,0,0,39,,,,,,,
18-Jun-2020,46,0,0,"2,266",49,0,0,46,,,,,,,
19-Jun-2020,21,0,0,790,38,0,0,21,,,,,,,
20-Jun-2020,4,0,1,103,26,0,0,4,,,,,,,
21-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
22-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
23-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
24-Jun-2020,17,0,0,926,54,0,0,17,,,,,,,
25-Jun-2020,9,0,0,313,35,0,0,9,,,,,,,
26-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
27-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
28-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
29-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
30-Jun-2020,4,0,0,103,26,0,0,4,,,,,,,
1-Jul-2020,29,0,0,"1,375",47,0,0,29,,,,,,,
2-Jul-2020,10,1,0,377,38,0,0,11,,,,,,,
3-Jul-2020,4,0,1,101,25,0,0,4,,,,,,,
4-Jul-2020,11,0,0,101,9,0,0,11,,,,,,,
5-Jul-2020,5,1,0,214,43,0,0,6,,,,,,,
6-Jul-2020,5,0,0,214,43,0,0,6,,,,,,,
7-Jul-2020,7,2,0,306,44,0,0,10,,,,,,,
8-Jul-2020,19,0,1,961,51,0,0,21,,,,,,,
9-Jul-2020,5,0,1,161,32,0,0,7,,,,,,,
10-Jul-2020,5,0,0,161,32,0,0,7,,,,,,,
11-Jul-2020,10,0,0,372,37,0,0,12,,,,,,,
12-Jul-2020,3,0,2,69,23,0,0,3,,,,,,,
13-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
14-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
15-Jul-2020,28,0,0,"1,342",48,0,0,28,,,,,,,
16-Jul-2020,23,0,0,"1,335",58,0,0,23,,,,,,,
17-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
18-Jul-2020,8,0,0,280,35,0,0,8,,,,,,,
19-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
20-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
21-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
22-Jul-2020,16,0,0,892,56,0,0,16,,,,,,,
23-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
24-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
25-Jul-2020,8,0,0,280,35,0,0,8,,,,,,,
26-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,
27-Jul-2020,106,0,0,"12,945",122,0,0,106,,,,,,,
28-Jul-2020,106,0,0,"12,945",122,0,0,106,,,,,,,
29-Jul-2020,120,1,0,"13,801",115,0,0,121,,,,,,,
30-Jul-2020,106,0,1,"12,945",122,0,0,106,,,,,,,
31-Jul-2020,3,0,0,69,23,0,0,3,,,,,,,